stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KKV1072,Available,OVAL,2.150,E,VVS2,,EX,VG,,,9.93X7.31X4.67,IGI,519232101,38026.95,63.9,61.00,India,MH,Mumbai,15.50,37.90,44.00,40.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1072,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1072,,,
KKV1074,Available,OVAL,1.800,D,VVS2,,EX,EX,,,9.82X6.83X4.28,IGI,519232102,29032.5,62.7,57.50,India,MH,Mumbai,14.50,33.90,44.00,40.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1074,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1074,,,
KKV1075,Available,EMERALD,2.050,D,VS2,,EX,EX,N,,8.58X6.04X4.01,IGI,517284361,34133.75,66.4,65.50,India,MH,Mumbai,13.00,23.50,50.00,41.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1075,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1075,,,
KKV1076,Available,EMERALD,1.900,E,VS2,,EX,EX,N,,8.36X5.81X3.96,IGI,520273390,22838.9,68.2,64.00,India,MH,Mumbai,14.00,23.30,50.50,41.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1076,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1076,,,
KKV1077,Available,OVAL,1.820,E,VS2,,EX,EX,,,9.64X6.90X4.33,IGI,519232103,22838.9,62.8,58.00,India,MH,Mumbai,15.50,36.30,42.50,39.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1077,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1077,,,
KKV1078,Available,EMERALD,2.040,D,SI1,,EX,EX,N,,8.54X6.06X3.89,IGI,520273389,29452.55,64.2,62.50,India,MH,Mumbai,14.00,21.80,46.00,37.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1078,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1078,,,
KKV1080,Available,PRINCESS,1.820,F,VS2,,EX,EX,N,,6.66X6.49X4.59,IGI,520273388,21509.6,70.7,70.50,India,MH,Mumbai,12.50,43.10,54.00,37.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1080,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1080,,,
KKV1081,Available,EMERALD,1.860,E,VS1,,EX,EX,N,,8.23X5.79X3.92,IGI,520285727,24833.28,67.7,64.00,India,MH,Mumbai,13.50,23.30,49.50,40.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1081,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1081,,,
KKV1082,Available,ROUND,2.800,E,VS2,ID,EX,EX,N,,9.02X9.07X5.54,IGI,517290033,40855.5,61.3,59.00,India,MH,Mumbai,13.50,33.60,43.50,41.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1082,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1082,,,
KKV1083,Available,OVAL,1.810,D,VVS1,,EX,EX,,,9.33X6.85X4.41,IGI,519232104,31611,64.4,61.50,India,MH,Mumbai,14.50,36.70,45.00,41.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1083,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1083,,,
KKV1084,Available,OVAL,2.000,E,VVS2,,EX,EX,N,,9.72X7.13X4.66,IGI,520285728,38026.95,65.4,57.00,India,MH,Mumbai,16.00,36.70,44.50,41.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1084,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1084,,,
KKV1085,Available,OVAL,1.530,D,VS1,,EX,EX,N,,9.21X6.61X3.98,IGI,517224665,26458.8,60.2,56.00,India,MH,Mumbai,15.50,35.40,40.00,38.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1085,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1085,,,
